Title,Year,Time,Rating
The Shawshank Redemption,1994,2h 22m,R
The Godfather,1972,2h 55m,R
The Dark Knight,2008,2h 32m,PG-13
The Godfather Part II,1974,3h 22m,R
12 Angry Men,1957,1h 36m,Approved
The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13
Schindler's List,1993,3h 15m,R
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13
Pulp Fiction,1994,2h 34m,R
"The Good, the Bad and the Ugly",1966,2h 58m,R
The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13
Forrest Gump,1994,2h 22m,PG-13
Fight Club,1999,2h 19m,R
Inception,2010,2h 28m,PG-13
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG
The Matrix,1999,2h 16m,R
Goodfellas,1990,2h 25m,R
Interstellar,2014,2h 49m,PG-13
One Flew Over the Cuckoo's Nest,1975,2h 13m,R
Se7en,1995,2h 7m,R
It's a Wonderful Life,1946,2h 10m,PG
The Silence of the Lambs,1991,1h 58m,R
Seven Samurai,1954,3h 27m,Not Rated
Saving Private Ryan,1998,2h 49m,R
The Green Mile,1999,3h 9m,R
